id,time_observed_at,latitude,longitude,scientific_name,common_name,taxon_id
198623573,2024-02-06 23:59:00 UTC,31.5697324031,-97.2583318086,Pandion haliaetus carolinensis,American Osprey,126619
198730585,2024-01-05 17:50:00 UTC,26.1377496296,-81.4915722655,Pandion haliaetus carolinensis,American Osprey,126619
198762364,2024-02-08 23:07:57 UTC,25.2727674908,-110.9386180714,Pandion haliaetus carolinensis,American Osprey,126619
198792020,2024-02-08 20:24:00 UTC,29.316744445,-94.7632977783,Pandion haliaetus carolinensis,American Osprey,126619
198796322,2024-02-08 19:58:00 UTC,29.3291102783,-94.7697725,Pandion haliaetus carolinensis,American Osprey,126619
198938067,2024-02-10 21:29:16 UTC,44.3087666667,-80.4907533333,Pandion haliaetus carolinensis,American Osprey,126619
198961563,2024-02-10 23:58:00 UTC,34.0328633499,-118.6829870957,Pandion haliaetus carolinensis,American Osprey,126619
199130200,2024-02-10 08:41:00 UTC,27.7296372848,-82.6503895264,Pandion haliaetus carolinensis,American Osprey,126619
199161975,2024-02-02 17:11:00 UTC,11.3649221768,-73.1195340916,Pandion haliaetus carolinensis,American Osprey,126619
199261305,2024-02-11 21:07:16 UTC,28.5718435026,-80.6206854361,Pandion haliaetus carolinensis,American Osprey,126619
199343698,2024-02-12 16:17:43 UTC,25.5187533333,-80.3568883333,Pandion haliaetus carolinensis,American Osprey,126619
199382110,2024-02-13 20:07:22 UTC,31.8639444444,-116.6677583333,Pandion haliaetus carolinensis,American Osprey,126619
199408181,2024-02-15 23:02:56 UTC,29.318695,-94.8213416667,Pandion haliaetus carolinensis,American Osprey,126619
199408196,2024-02-14 22:58:24 UTC,8.4663883333,-83.5902166667,Pandion haliaetus carolinensis,American Osprey,126619
199694156,2024-02-18 16:48:01 UTC,19.1001388333,-104.3467116667,Pandion haliaetus carolinensis,American Osprey,126619
199769643,2024-02-18 23:12:34 UTC,36.6167133333,-121.8999466667,Pandion haliaetus carolinensis,American Osprey,126619
199831634,2024-02-19 15:44:37 UTC,26.2012784292,-81.0781537369,Pandion haliaetus carolinensis,American Osprey,126619
199834032,2024-02-19 20:19:15 UTC,27.7177333333,-82.689505,Pandion haliaetus carolinensis,American Osprey,126619
199834147,2024-02-19 20:21:25 UTC,27.7180466667,-82.6902916667,Pandion haliaetus carolinensis,American Osprey,126619
199844647,2024-02-05 21:11:24 UTC,36.61888,-121.9014966667,Pandion haliaetus carolinensis,American Osprey,126619
199876487,2024-02-19 20:52:00 UTC,29.3155727783,-94.7608086117,Pandion haliaetus carolinensis,American Osprey,126619
199879662,2024-02-19 20:56:00 UTC,29.322445555,-94.7595947217,Pandion haliaetus carolinensis,American Osprey,126619
199879842,2024-02-19 23:04:00 UTC,31.5415936627,-97.2174188217,Pandion haliaetus carolinensis,American Osprey,126619
199879843,2024-02-19 23:49:00 UTC,31.591498439,-97.2112121376,Pandion haliaetus carolinensis,American Osprey,126619
200030787,2024-02-21 15:15:00 UTC,27.8443496653,-82.77677275,Pandion haliaetus carolinensis,American Osprey,126619
200119069,2024-02-22 18:52:16 UTC,19.1028471667,-104.39627,Pandion haliaetus carolinensis,American Osprey,126619
200145193,2024-02-22 18:36:00 UTC,19.1028931649,-104.3966103073,Pandion haliaetus carolinensis,American Osprey,126619
200158523,2024-02-22 20:51:00 UTC,29.3313661117,-94.781654445,Pandion haliaetus carolinensis,American Osprey,126619
200256402,2024-02-22 20:17:00 UTC,29.3288508333,-94.7692411117,Pandion haliaetus carolinensis,American Osprey,126619
200256788,2024-02-22 20:46:00 UTC,29.322995,-94.798805,Pandion haliaetus carolinensis,American Osprey,126619
200342250,2024-02-10 16:57:00 UTC,16.7386966667,-87.8127266667,Pandion haliaetus carolinensis,American Osprey,126619
200407446,2024-02-25 15:33:38 UTC,32.2588696269,-86.3512851298,Pandion haliaetus carolinensis,American Osprey,126619
200579466,2024-02-26 15:15:10 UTC,25.9205487993,-81.727537725,Pandion haliaetus carolinensis,American Osprey,126619
200673632,2024-02-26 20:19:35 UTC,4.4011083333,-75.1323733333,Pandion haliaetus carolinensis,American Osprey,126619
200674982,2024-02-26 14:11:33 UTC,4.40476,-75.1416658333,Pandion haliaetus carolinensis,American Osprey,126619
200888115,2024-02-29 19:20:00 UTC,29.3157997217,-94.7618433333,Pandion haliaetus carolinensis,American Osprey,126619
200977992,2024-02-27 20:26:37 UTC,25.5195633333,-80.3459033333,Pandion haliaetus carolinensis,American Osprey,126619
201189561,2024-02-16 20:28:50 UTC,20.547705,-87.1564945,Pandion haliaetus carolinensis,American Osprey,126619
201325236,2024-01-04 13:35:00 UTC,7.4662351833,-81.7271715149,Pandion haliaetus carolinensis,American Osprey,126619
201325245,2024-01-04 13:25:00 UTC,7.4662351833,-81.7271715149,Pandion haliaetus carolinensis,American Osprey,126619
201325256,2024-01-04 13:14:00 UTC,7.4635538356,-81.7231316894,Pandion haliaetus carolinensis,American Osprey,126619
201450667,2024-03-04 20:00:00 UTC,29.314705555,-94.820544445,Pandion haliaetus carolinensis,American Osprey,126619
201476724,2024-03-06 14:41:21 UTC,30.3947407169,-88.8087599006,Pandion haliaetus carolinensis,American Osprey,126619
201553724,2024-03-06 22:27:00 UTC,31.5525597,-97.2248378,Pandion haliaetus carolinensis,American Osprey,126619
201623989,2024-03-06 20:20:21 UTC,29.6099999997,-82.3199998997,Pandion haliaetus carolinensis,American Osprey,126619
201631263,2024-03-07 18:38:00 UTC,29.6651105458,-82.2026389453,Pandion haliaetus carolinensis,American Osprey,126619
201631268,2024-03-07 18:44:00 UTC,29.6683174829,-82.2049563739,Pandion haliaetus carolinensis,American Osprey,126619
201686538,2024-02-29 16:07:00 UTC,-2.6377700015,-80.2643394147,Pandion haliaetus carolinensis,American Osprey,126619
201812535,2024-03-08 20:12:00 UTC,30.2339441917,-84.2908910627,Pandion haliaetus carolinensis,American Osprey,126619
201812581,2024-03-08 20:33:00 UTC,30.234037934,-84.2907954662,Pandion haliaetus carolinensis,American Osprey,126619
201855247,2024-03-10 00:17:27 UTC,36.617566628,-121.9007558246,Pandion haliaetus carolinensis,American Osprey,126619
201977426,2024-03-09 20:27:00 UTC,21.6098583333,-88.110305,Pandion haliaetus carolinensis,American Osprey,126619
202060541,2024-03-09 17:52:13 UTC,28.2328127023,-114.0006687865,Pandion haliaetus carolinensis,American Osprey,126619
202073353,2024-01-01 16:50:00 UTC,23.0544855012,-109.6903851548,Pandion haliaetus carolinensis,American Osprey,126619
202073415,2024-01-01 17:33:00 UTC,23.0560366328,-109.6913186844,Pandion haliaetus carolinensis,American Osprey,126619
202073505,2024-01-01 18:21:00 UTC,23.0533894773,-109.690362006,Pandion haliaetus carolinensis,American Osprey,126619
202073508,2024-01-01 18:23:00 UTC,23.0533894773,-109.690362006,Pandion haliaetus carolinensis,American Osprey,126619
202083394,2024-03-10 19:09:00 UTC,34.0770345,-117.8104144,Pandion haliaetus carolinensis,American Osprey,126619
202084440,2024-03-11 19:27:09 UTC,27.5244223,-82.7313311997,Pandion haliaetus carolinensis,American Osprey,126619
202149747,2024-03-11 16:28:14 UTC,25.1427586,-80.9224909997,Pandion haliaetus carolinensis,American Osprey,126619
202215768,2024-03-12 22:00:00 UTC,38.3384334589,-75.0873637009,Pandion haliaetus carolinensis,American Osprey,126619
202324845,2024-03-11 16:14:00 UTC,29.6169359842,-82.3223333802,Pandion haliaetus carolinensis,American Osprey,126619
202361726,2024-03-13 15:51:00 UTC,32.5503339277,-80.2476826429,Pandion haliaetus carolinensis,American Osprey,126619
202366248,2024-03-10 16:34:12 UTC,34.1768025936,-118.4727919167,Pandion haliaetus carolinensis,American Osprey,126619
202465826,2024-03-14 13:58:00 UTC,30.4768210896,-88.6550222507,Pandion haliaetus carolinensis,American Osprey,126619
202465837,2024-03-14 15:21:00 UTC,30.4768210896,-88.6550222507,Pandion haliaetus carolinensis,American Osprey,126619
202593499,2024-03-15 19:21:00 UTC,31.5697324031,-97.2583318086,Pandion haliaetus carolinensis,American Osprey,126619
202776604,2024-03-16 15:44:00 UTC,20.9477614,-89.5766532,Pandion haliaetus carolinensis,American Osprey,126619
202789157,2024-03-16 12:47:00 UTC,32.6546861368,-97.4740622657,Pandion haliaetus carolinensis,American Osprey,126619
202825687,2024-03-17 13:51:35 UTC,41.0022947893,-81.5175750107,Pandion haliaetus carolinensis,American Osprey,126619
202851663,2024-03-07 22:07:00 UTC,27.9020074831,-81.5801133736,Pandion haliaetus carolinensis,American Osprey,126619
202891729,2024-02-10 21:57:19 UTC,21.0536698136,-86.7811153741,Pandion haliaetus carolinensis,American Osprey,126619
202968962,2024-03-18 12:34:14 UTC,32.491407884,-93.8422064111,Pandion haliaetus carolinensis,American Osprey,126619
202989013,2024-03-12 12:59:11 UTC,27.63275,-82.7237783333,Pandion haliaetus carolinensis,American Osprey,126619
203149786,2024-03-02 22:49:34 UTC,27.664043,-97.326261,Pandion haliaetus carolinensis,American Osprey,126619
203169609,2024-03-13 17:52:07 UTC,26.8878315091,-111.9872144542,Pandion haliaetus carolinensis,American Osprey,126619
203178117,2024-02-16 22:01:00 UTC,36.6189898728,-121.9016956441,Pandion haliaetus carolinensis,American Osprey,126619
203178162,2024-03-18 14:43:00 UTC,36.6188466109,-121.9019768157,Pandion haliaetus carolinensis,American Osprey,126619
203244000,2024-03-15 00:46:00 UTC,26.5805815261,-99.1383928718,Pandion haliaetus carolinensis,American Osprey,126619
203317112,2024-03-20 14:23:17 UTC,25.5195833333,-80.34548,Pandion haliaetus carolinensis,American Osprey,126619
