id,observed_on,time_observed_at,latitude,longitude,scientific_name,common_name
198188278,1/27/2024,2024-01-27 15:42:13 UTC,20.03471787,-75.75464981,Pandion haliaetus carolinensis,American Osprey
197781180,1/28/2024,2024-01-28 16:28:23 UTC,38.89129613,-77.04186536,Pandion haliaetus carolinensis,American Osprey
197862342,1/28/2024,2024-01-28 19:37:00 UTC,38.44926944,-123.1147167,Pandion haliaetus carolinensis,American Osprey
197941724,1/28/2024,2024-01-28 14:34:00 UTC,12.02158791,-86.16890138,Pandion haliaetus carolinensis,American Osprey
197956144,1/29/2024,2024-01-29 19:41:00 UTC,29.25092445,-94.86656417,Pandion haliaetus carolinensis,American Osprey
198039094,1/30/2024,2024-01-30 16:51:00 UTC,29.258153,-94.914359,Pandion haliaetus carolinensis,American Osprey
198266482,1/30/2024,2024-01-30 21:18:00 UTC,31.60739159,-97.30162375,Pandion haliaetus carolinensis,American Osprey
198266492,1/30/2024,2024-01-30 21:23:00 UTC,31.60739159,-97.30162375,Pandion haliaetus carolinensis,American Osprey
198161491,2/1/2024,2024-02-01 21:22:01 UTC,27.04670283,-82.40055,Pandion haliaetus carolinensis,American Osprey
199161975,2/2/2024,2024-02-02 17:11:00 UTC,11.36492218,-73.11953409,Pandion haliaetus carolinensis,American Osprey
198552235,2/5/2024,2024-02-05 20:49:00 UTC,29.31689833,-94.76284417,Pandion haliaetus carolinensis,American Osprey
198553260,2/5/2024,2024-02-05 21:04:00 UTC,29.33405417,-94.74642889,Pandion haliaetus carolinensis,American Osprey
199844647,2/5/2024,2024-02-05 21:11:24 UTC,36.61888,-121.9014967,Pandion haliaetus carolinensis,American Osprey
198623573,2/6/2024,2024-02-06 23:59:00 UTC,31.5697324,-97.25833181,Pandion haliaetus carolinensis,American Osprey
198762364,2/8/2024,2024-02-08 23:07:57 UTC,25.27276749,-110.9386181,Pandion haliaetus carolinensis,American Osprey
198792020,2/8/2024,2024-02-08 20:24:00 UTC,29.31674445,-94.76329778,Pandion haliaetus carolinensis,American Osprey
198796322,2/8/2024,2024-02-08 19:58:00 UTC,29.32911028,-94.7697725,Pandion haliaetus carolinensis,American Osprey
198938067,2/10/2024,2024-02-10 21:29:16 UTC,44.30876667,-80.49075333,Pandion haliaetus carolinensis,American Osprey
198961563,2/10/2024,2024-02-10 23:58:00 UTC,34.03286335,-118.6829871,Pandion haliaetus carolinensis,American Osprey
199130200,2/10/2024,2024-02-10 08:41:00 UTC,27.72963728,-82.65038953,Pandion haliaetus carolinensis,American Osprey
200342250,2/10/2024,2024-02-10 16:57:00 UTC,16.73869667,-87.81272667,Pandion haliaetus carolinensis,American Osprey
202891729,2/10/2024,2024-02-10 21:57:19 UTC,21.05366981,-86.78111537,Pandion haliaetus carolinensis,American Osprey
199261305,2/11/2024,2024-02-11 21:07:16 UTC,28.5718435,-80.62068544,Pandion haliaetus carolinensis,American Osprey
